start, end, long, minday, minfday, meanperiod, gsop
[('10/03/1936', '04/20/1937', 199, -21.0, -18.76, -1.93, 3966.0),
 ('10/05/1937', '04/20/1938', 197, -17.1, -14.82, -1.01, 3745.0),
 ('10/27/1938', '04/09/1939', 164, -19.2, -18.36, -2.97, 3439.0),
 ('09/27/1939', '04/19/1940', 205, -32.4, -27.02, -3.99, 4508.0),
 ('10/02/1945', '04/22/1946', 202, -19.5, -17.88, -2.44, 4129.0),
 ('09/29/1946', '04/01/1947', 184, -27.6, -20.4, -4.79, 4193.0),
 ('10/04/1947', '04/10/1948', 189, -17.6, -15.44, -1.8, 3742.0),
 ('09/24/1948', '04/28/1949', 216, -21.8, -18.6, -1.48, 4208.0),
 ('10/07/1949', '04/07/1950', 182, -29.0, -24.84, -3.45, 3904.0),
 ('10/15/1950', '04/01/1951', 168, -22.6, -17.42, -4.08, 3709.0),
 ('09/24/1951', '04/16/1952', 205, -15.0, -13.0, -2.03, 4106.0),
 ('10/18/1952', '04/19/1953', 183, -24.3, -18.6, -3.42, 3920.0),
 ('10/09/1953', '04/20/1954', 193, -27.3, -22.92, -6.08, 4647.0),
 ('10/03/1954', '05/01/1955', 210, -16.8, -11.56, -0.17, 3816.0),
 ('10/30/1955', '04/18/1956', 171, -30.2, -28.3, -6.76, 4234.0),
 ('09/19/1956', '04/08/1957', 201, -21.5, -17.54, -1.62, 3944.0),
 ('09/18/1958', '04/12/1959', 206, -15.3, -9.3, -0.27, 3764.0),
 ('09/29/1959', '04/15/1960', 199, -25.7, -22.14, -3.9, 4358.0)]
[('09/25/1960', '04/08/1961', 195, -20.0, -15.28, 0.71, 3372.0),
 ('09/24/1961', '04/11/1962', 199, -19.6, -15.84, -1.13, 3807.0),
 ('10/13/1962', '04/22/1963', 191, -26.4, -23.4, -4.86, 4366.0),
 ('10/15/1963', '04/20/1964', 188, -25.6, -18.94, -4.75, 4277.0),
 ('10/05/1965', '04/10/1966', 187, -23.3, -15.6, -0.27, 3416.0)]
 ('09/27/1966', '04/13/1967', 198, -25.1, -22.7, -2.18, 3996.0),
 ('10/23/1967', '04/06/1968', 166, -24.0, -19.18, -4.07, 3664.0),
 ('10/02/1968', '04/15/1969', 195, -21.8, -18.64, -3.73, 4237.0),
 ('09/26/1969', '04/12/1970', 198, -26.6, -20.68, -1.89, 3938.0),
 ('09/27/1970', '04/22/1971', 207, -16.0, -14.36, -1.16, 3966.0)]
 ('10/06/1971', '04/10/1972', 187, -23.9, -21.68, -3.43, 4007.0),
 ('09/29/1972', '04/05/1973', 188, -24.5, -21.36, -1.26, 3621.0),
 ('09/15/1973', '04/30/1974', 227, -16.9, -15.9, -0.62, 4227.0),
 ('10/21/1974', '04/02/1975', 163, -13.4, -10.52, -0.82, 3068.0)]
 ('09/17/1977', '04/16/1978', 211, -20.3, -18.34, -1.74, 4165.0),
 ('09/24/1978', '04/26/1979', 214, -27.4, -22.22, -2.18, 4319.0),
 ('10/03/1979', '04/22/1980', 202, -24.3, -16.96, -3.59, 4361.0)]
 ('09/27/1980', '05/04/1981', 219, -16.4, -13.82, -0.2, 3986.0),
 ('09/20/1981', '04/30/1982', 222, -20.9, -14.94, 0.32, 3925.0),
 ('10/04/1982', '03/28/1983', 175, -16.9, -13.76, -0.48, 3234.0),
 ('10/02/1983', '04/13/1984', 194, -13.9, -12.48, -1.58, 3799.0),
 ('10/14/1984', '04/23/1985', 191, -28.3, -21.08, -4.98, 4389.0)]
 ('09/27/1985', '04/05/1986', 190, -18.5, -14.98, -2.47, 3889.0),
 ('09/27/1986', '05/02/1987', 217, -29.4, -22.7, -4.14, 4804.0),
 ('10/02/1987', '04/20/1988', 201, -24.8, -23.68, -1.93, 4006.0),
 ('10/16/1988', '04/14/1989', 180, -19.9, -12.54, -1.08, 3434.0),
 ('10/03/1989', '03/21/1990', 169, -18.6, -13.36, 0.34, 2985.0)]
 ('10/06/1990', '04/12/1991', 188, -21.5, -18.64, -1.15, 3600.0),
 ('10/13/1991', '03/29/1992', 168, -17.8, -13.88, -1.45, 3268.0),
 ('09/26/1992', '04/26/1993', 212, -21.4, -15.48, -0.89, 4005.0),
 ('09/23/1993', '04/13/1994', 202, -26.3, -19.78, -2.23, 4086.0),
 ('10/16/1994', '04/18/1995', 184, -24.2, -19.64, -1.67, 3619.0)]
 ('10/16/1994', '04/18/1995', 184, -24.2, -19.64, -1.67, 3619.0),
 ('09/21/1995', '04/22/1996', 214, -21.5, -18.0, -2.9, 4473.0),
 ('09/22/1996', '04/29/1997', 219, -25.4, -22.46, -0.54, 4060.0),
 ('09/25/1997', '04/13/1998', 200, -27.1, -19.04, -1.06, 3812.0),
 ('10/04/1998', '03/31/1999', 178, -21.0, -17.74, -1.9, 3542.0),
 ('10/14/1999', '04/06/2000', 175, -18.8, -16.26, -2.15, 3526.0)]
 ('09/19/2000', '04/06/2001', 199, -13.0, -9.4, 0.98, 3387.0),
 ('09/30/2001', '04/02/2002', 184, -24.8, -16.48, -0.5, 3404.0),
 ('10/03/2002', '04/23/2003', 202, -20.4, -16.5, -3.28, 4299.0),
 ('10/15/2003', '03/25/2004', 162, -17.0, -11.78, -1.48, 3156.0),
 ('10/06/2004', '04/08/2005', 184, -16.3, -14.82, -1.42, 3573.0),
 ('10/19/2005', '04/13/2006', 176, -26.4, -23.66, -3.27, 3744.0)]
 ('10/15/2006', '04/03/2007', 170, -18.4, -14.26, 0.51, 2973.0),
 ('10/12/2007', '04/04/2008', 175, -17.0, -15.18, -0.48, 3234.0),
 ('10/22/2008', '04/16/2009', 176, -21.3, -15.44, -0.74, 3298.0),
 ('10/04/2009', '04/05/2010', 183, -25.2, -21.7, -1.98, 3656.0),
 ('10/03/2010', '04/24/2011', 203, -19.1, -18.12, -1.21, 3900.0)]
 ('10/15/2011', '04/08/2012', 176, -23.1, -20.68, -2.72, 3647.0),
 ('10/13/2012', '04/15/2013', 184, -19.3, -16.02, -1.15, 3524.0),
 ('09/27/2013', '03/25/2014', 179, -23.9, -20.7, 0.29, 3170.0),
 ('10/03/2014', '04/13/2015', 192, -20.5, -13.56, -0.35, 3523.0),
 ('10/09/2015', '04/07/2016', 181, -20.2, -17.44, -0.15, 3285.0),
 ('09/23/2016', '04/05/2017', 194, -20.5, -15.32, -0.85, 3657.0)]
 ('09/30/2017', '04/09/2018', 191, -16.8, -15.26, -0.69, 3570.0),
 ('09/30/2018', '04/09/2019', 191, -16.9, -10.92, -0.12, 3461.0),
 ('09/24/2019', '03/08/2020', 166, -10.5, -8.1, 2.73, 2535.0),
 ('10/21/2020', '04/13/2021', 174, -20.9, -17.46, -1.13, 3329.0)]
